Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry,Country
Morgan Stanley,MS,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage,US
Movado Group Inc,MOV,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods","Apparel, Accessories and Luxury Goods",US
Multiplan Empreendimentos Imobiliarios SA,MULT3.SA,B3 S.A.,Real Estate,Real Estate,Real Estate Management & Development,Real Estate Operating Companies,Brazil
Myriad Genetics Inc,MYGN,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology,US
National Beverage Corp,FIZZ,Nasdaq,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,US
National Fuel Gas Co,NFG,"New York Stock Exchange, Inc.",Utilities,Utilities,Gas Utilities,Gas Utilities,US
Natura & Co Holding SA,NTCO3.SA,B3 S.A.,Consumer Staples,Household and Personal Products,Personal Products,Personal Products,Brazil
Natural Gas Services Group Inc,NGS,"New York Stock Exchange, Inc.",Energy,Energy,Energy Equipment and Services,Oil and Gas Equipment and Services,US
NatWest Group PLC,NWG.L,London Stock Exchange,Financials,Banks,Banks,Diversified Banks,UK
Nestle India Ltd,NESTLEIND.BO,BSE LTD,Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,India
NetEase Inc,NTES,Nasdaq,Communication Services,Media and Entertainment,Entertainment,Interactive Home Entertainment,US
NETFLIX Inc,NFLX,Nasdaq,Communication Services,Media and Entertainment,Entertainment,Movies & Entertainment,US
New Oriental Education & Technology Group Inc,EDU,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services,US
Next PLC,NXT.L,London Stock Exchange,Consumer Discretionary,Retailing,Multiline Retail,Department Stores,UK
NIIT Ltd,NIITLTD.BO,BSE LTD,Information Technology,Software and Services,IT Services,IT Consulting and Other Services,India
Nike Inc,NKE,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods",Footwear,US
Northern Technologies International Corp,NTIC,Nasdaq,Materials,Materials,Chemicals,Specialty Chemicals,US
Northrop Grumman Corp,NOC,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,US
Norwegian Cruise Line Holdings Ltd,NCLH,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines",US
Notre Dame Intermedica Participacoes SA,GNDI3.SA,B3 S.A.,Health Care,Health Care Equipment and Services,Health Care Providers and Services,Managed Health Care,Brazil
NOV Inc,NOV,"New York Stock Exchange, Inc.",Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,US
Novartis AG,NVS,"New York Stock Exchange, Inc.",Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,US
NTPC Ltd,NTPC.BO,BSE LTD,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers and Energy Traders,India
Nutrien Ltd,NTR,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals,US
NVIDIA Corp,NVDA,Nasdaq,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US
NXP Semiconductors NV,NXPI,Nasdaq,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,US
Oil & Natural Gas Corp Ltd,ONGC.BO,BSE LTD,Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,India
Old National Bancorp,ONB,Nasdaq,Financials,Banks,Banks,Regional Banks,US
On The Beach Group PLC,OTB.L,London Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure","Hotels, Resorts and Cruise Lines",UK
ONEOK Inc,OKE,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Storage and Transportation,US
