Date,Portfolio 1
2021-05-24,65.7184%
2021-05-25,65.8613%
2021-05-26,65.8132%
2021-05-27,66.2719%
2021-05-28,65.9686%
2021-05-31,66.2350%
2021-06-01,66.1959%
2021-06-02,65.6777%
2021-06-03,64.9410%
2021-06-04,64.7310%
2021-06-07,64.5717%
2021-06-08,64.4001%
2021-06-09,63.7883%
2021-06-10,65.2075%
2021-06-11,65.2995%
2021-06-14,65.5934%
2021-06-15,64.5456%
2021-06-16,64.6959%
2021-06-17,64.2101%
2021-06-18,63.0164%
2021-06-21,63.2075%
2021-06-22,62.7232%
2021-06-23,62.7777%
2021-06-24,63.0686%
2021-06-25,63.9739%
2021-06-28,64.2582%
2021-06-29,64.6685%
2021-06-30,65.2187%
2021-07-01,66.5088%
2021-07-02,65.2694%
2021-07-05,65.4897%
2021-07-06,64.1955%
2021-07-07,64.3354%
2021-07-08,63.5574%
2021-07-09,64.4307%
2021-07-12,64.9512%
2021-07-13,64.9500%
2021-07-14,65.2744%
2021-07-15,65.3558%
2021-07-16,64.1202%
2021-07-19,63.8798%
2021-07-20,64.0239%
2021-07-21,64.1827%
2021-07-22,63.5579%
2021-07-23,62.2979%
2021-07-26,60.0030%
2021-07-27,58.8081%
2021-07-28,61.1426%
2021-07-29,61.5725%
2021-07-30,61.3261%
2021-08-02,62.4024%
2021-08-03,62.1758%
2021-08-04,61.3686%
2021-08-05,60.8542%
2021-08-06,60.6409%
2021-08-09,62.3770%
2021-08-10,63.0326%
2021-08-11,62.6986%
2021-08-12,61.9678%
2021-08-13,61.4018%
2021-08-16,60.9157%
2021-08-17,60.0023%
2021-08-18,59.4238%
2021-08-19,58.3346%
2021-08-20,57.1372%
2021-08-23,58.4619%
2021-08-24,60.5467%
2021-08-25,61.1193%
2021-08-26,60.3748%
2021-08-27,61.4279%
2021-08-30,60.9939%
2021-08-31,62.0761%
2021-09-01,62.8862%
2021-09-02,63.0288%
2021-09-03,62.1514%
2021-09-06,62.8946%
2021-09-07,62.6635%
2021-09-08,61.2968%
2021-09-09,60.8230%
2021-09-10,60.2747%
2021-09-13,60.5190%
2021-09-14,59.2889%
2021-09-15,59.0506%
2021-09-16,59.1824%
2021-09-17,59.9219%
2021-09-20,58.3729%
2021-09-21,58.8196%
2021-09-22,59.7402%
2021-09-23,60.2958%
2021-09-24,60.8237%
2021-09-27,62.2261%
2021-09-28,62.1605%
2021-09-29,61.7706%
2021-09-30,62.2119%
2021-10-01,62.2585%
2021-10-04,61.5764%
2021-10-05,62.0221%
2021-10-06,62.7163%
2021-10-07,63.9601%
2021-10-08,64.2277%
2021-10-11,63.5112%
2021-10-12,63.2246%
2021-10-13,63.5198%
2021-10-14,63.5763%
2021-10-15,64.0857%
2021-10-18,63.8400%
2021-10-19,64.6941%
2021-10-20,64.4085%
2021-10-21,64.4493%
2021-10-22,64.6709%
2021-10-25,65.0549%
2021-10-26,64.6102%
2021-10-27,64.0341%
2021-10-28,63.6251%
2021-10-29,63.7938%
2021-11-01,64.7686%
2021-11-02,64.4102%
2021-11-03,65.2003%
2021-11-04,65.2347%
2021-11-05,65.5973%
2021-11-08,65.3969%
2021-11-09,65.0226%
2021-11-10,65.4042%
2021-11-11,66.8689%
2021-11-12,66.9141%
2021-11-15,67.4882%
2021-11-16,67.7571%
2021-11-17,67.4107%
2021-11-18,67.2649%
2021-11-19,67.5557%
2021-11-22,67.9459%
2021-11-23,68.6009%
2021-11-24,69.1130%
2021-11-25,69.0739%
2021-11-26,68.8995%
2021-11-29,68.2950%
2021-11-30,67.4167%
2021-12-01,67.2520%
2021-12-02,66.9582%
2021-12-03,66.0267%
2021-12-06,66.5621%
2021-12-07,67.4062%
2021-12-08,67.8747%
2021-12-09,67.8006%
2021-12-10,67.9665%
2021-12-13,67.9052%
2021-12-14,68.1160%
2021-12-15,67.8273%
2021-12-16,67.7204%
2021-12-17,66.0209%
2021-12-20,65.8656%
2021-12-21,68.0480%
2021-12-22,68.3691%
2021-12-23,68.9109%
2021-12-24,68.8621%
2021-12-27,69.3736%
2021-12-28,69.7944%
2021-12-29,69.2437%
2021-12-30,70.7887%
2021-12-31,70.4606%
2022-01-03,70.4853%
2022-01-04,70.3662%
2022-01-05,69.4113%
2022-01-06,69.2524%
2022-01-07,69.0159%
2022-01-10,69.6962%
2022-01-11,70.2605%
2022-01-12,70.6540%
2022-01-13,69.8729%
2022-01-14,69.6857%
2022-01-17,69.6952%
2022-01-18,68.4490%
2022-01-19,68.5559%
2022-01-20,68.5525%
2022-01-21,66.9083%
2022-01-24,66.0828%
2022-01-25,66.6169%
2022-01-26,66.7260%
2022-01-27,66.4540%
2022-01-28,66.8009%
2022-01-31,68.3515%
2022-02-01,68.8876%
2022-02-02,69.2685%
2022-02-03,68.7806%
2022-02-04,68.9413%
2022-02-07,69.1423%
2022-02-08,69.8937%
2022-02-09,71.2948%
2022-02-10,70.2464%
2022-02-11,68.7381%
2022-02-14,68.0460%
2022-02-15,68.3725%
2022-02-16,68.2036%
2022-02-17,67.5111%
2022-02-18,67.7153%
2022-02-21,67.3676%
2022-02-22,65.1677%
2022-02-23,64.7694%
2022-02-24,63.4066%
2022-02-25,66.3549%
2022-02-28,64.9731%
2022-03-01,64.2862%
2022-03-02,64.5591%
2022-03-03,63.5210%
2022-03-04,62.3064%
2022-03-07,60.5035%
2022-03-08,60.6363%
2022-03-09,62.4718%
2022-03-10,62.1905%
2022-03-11,62.6793%
2022-03-14,61.6275%
2022-03-15,61.4969%
2022-03-16,66.6588%
2022-03-17,66.6131%
2022-03-18,67.2640%
2022-03-21,67.0476%
2022-03-22,68.4675%
2022-03-23,68.6438%
2022-03-24,68.2681%
2022-03-25,68.6521%
2022-03-28,69.2511%
2022-03-29,69.6480%
2022-03-30,70.1513%
2022-03-31,69.2034%
2022-04-01,70.6628%
2022-04-04,70.9000%
2022-04-05,70.7352%
2022-04-06,71.0760%
2022-04-07,70.3079%
2022-04-08,71.1479%
2022-04-11,70.4727%
2022-04-12,70.0336%
2022-04-13,70.0499%
2022-04-14,70.4507%
2022-04-15,70.6901%
2022-04-18,69.9819%
2022-04-19,69.5851%
2022-04-20,69.2002%
2022-04-21,67.9855%
2022-04-22,67.0640%
2022-04-25,66.0208%
2022-04-26,65.3882%
2022-04-27,66.2222%
2022-04-28,67.2572%
2022-04-29,67.2561%
2022-05-02,66.9310%
2022-05-03,67.3759%
2022-05-04,68.0792%
2022-05-05,66.6703%
2022-05-06,65.2736%
2022-05-09,64.8594%
2022-05-10,65.2044%
2022-05-11,64.7813%
2022-05-12,64.3612%
2022-05-13,66.0821%
2022-05-16,65.6192%
2022-05-17,66.9380%
2022-05-18,65.5221%
2022-05-19,64.5031%
2022-05-20,65.7370%
2022-05-23,66.2835%
2022-05-24,66.5891%
2022-05-25,66.8009%
2022-05-26,67.5558%
2022-05-27,68.9531%
2022-05-30,69.5366%
2022-05-31,70.0400%
2022-06-01,69.2359%
2022-06-02,70.4755%
2022-06-03,69.5037%
2022-06-06,70.2372%
2022-06-07,70.5993%
2022-06-08,70.3751%
2022-06-09,69.2238%
2022-06-10,68.7771%
2022-06-13,66.5190%
2022-06-14,67.1617%
2022-06-15,67.9377%
2022-06-16,65.6734%
2022-06-17,65.4513%
2022-06-20,66.6466%
2022-06-21,67.6296%
2022-06-22,67.2642%
2022-06-23,67.9859%
2022-06-24,69.4367%
2022-06-27,69.8190%
2022-06-28,69.1319%
2022-06-29,69.0746%
2022-06-30,69.1123%
2022-07-01,70.0420%
2022-07-04,70.3468%
2022-07-05,69.7689%
2022-07-06,69.2526%
2022-07-07,69.7101%
2022-07-08,69.4240%
2022-07-11,68.2275%
2022-07-12,67.9752%
2022-07-13,68.3526%
2022-07-14,67.6838%
2022-07-15,68.1888%
2022-07-18,68.4486%
2022-07-19,69.2550%
2022-07-20,70.2357%
2022-07-21,71.0180%
2022-07-22,70.1083%
2022-07-25,70.8396%
2022-07-26,70.0924%
2022-07-27,70.2473%
2022-07-28,69.5050%
2022-07-29,69.1450%
2022-08-01,69.4957%
2022-08-02,68.7285%
2022-08-03,68.8012%
2022-08-04,68.9424%
2022-08-05,69.6850%
2022-08-08,69.7844%
2022-08-09,70.0003%
2022-08-10,70.0697%
2022-08-11,71.0816%
2022-08-12,71.7111%
2022-08-15,71.8516%
2022-08-16,72.1924%
2022-08-17,72.0217%
2022-08-18,70.5529%
2022-08-19,69.8781%
2022-08-22,69.8219%
2022-08-23,69.2795%
2022-08-24,69.0487%
2022-08-25,69.8969%
2022-08-26,68.9671%
2022-08-29,68.0383%
2022-08-30,68.0524%
2022-08-31,68.8710%
2022-09-01,68.4199%
2022-09-02,67.9142%
2022-09-05,68.0318%
2022-09-06,68.4713%
2022-09-07,68.8660%
2022-09-08,69.0020%
2022-09-09,70.2543%
2022-09-12,70.1359%
2022-09-13,69.3495%
2022-09-14,68.4965%
2022-09-15,68.5293%
2022-09-16,67.8030%
2022-09-19,67.8454%
2022-09-20,68.1058%
2022-09-21,66.3188%
2022-09-22,65.4272%
2022-09-23,64.8542%
2022-09-26,64.4911%
2022-09-27,65.4513%
2022-09-28,65.5325%
2022-09-29,64.5583%
2022-09-30,64.2014%
2022-10-03,64.9648%
2022-10-04,66.9548%
2022-10-05,66.8512%
2022-10-06,66.3375%
2022-10-07,65.6083%
2022-10-10,64.6073%
2022-10-11,63.8428%
2022-10-12,63.3787%
2022-10-13,63.7389%
2022-10-14,64.3282%
2022-10-17,65.4954%
2022-10-18,66.1330%
2022-10-19,64.7143%
2022-10-20,63.9500%
2022-10-21,64.2148%
2022-10-24,62.3721%
2022-10-25,61.8175%
2022-10-26,62.4508%
2022-10-27,60.7817%
2022-10-28,60.7582%
2022-10-31,61.0561%
2022-11-01,63.1433%
2022-11-02,62.9409%
2022-11-03,62.7457%
2022-11-04,64.9768%
2022-11-07,65.1276%
2022-11-08,64.7643%
2022-11-09,63.9249%
2022-11-10,65.2735%
2022-11-11,66.5598%
2022-11-14,67.6609%
2022-11-15,68.9630%
2022-11-16,68.7801%
2022-11-17,68.6619%
2022-11-18,67.8230%
2022-11-21,67.2471%
2022-11-22,67.5159%
2022-11-23,68.0628%
2022-11-24,68.1498%
2022-11-25,68.3861%
2022-11-28,68.8298%
2022-11-29,70.7942%
